sentence,cause,effect,is_causal
"The State alleged they hacked Sabata Petros Chale, 39, to death in Marikana West, on December 8, 2016, allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2.",the allocation of low cost ( RDP ) houses at Marikana West Extension 2,"they hacked Sabata Petros Chale, 39, to death in Marikana West, on December 8, 2016",1
The farmworkers ' strike resumed on Tuesday when their demands were not met.,their demands were not met,The farmworkers ' strike resumed on Tuesday,1
"Demonstrators have filed for a permit to hold a rally on Saturday in Yuen Long, the district on the outskirts of Hong Kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods, leaving at least 45 people in hospital.", to hold a rally on Saturday in Yuen Long,Demonstrators have filed for a permit,1
"Demonstrators have filed for a permit to hold a rally on Saturday in Yuen Long, the district on the outskirts of Hong Kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods, leaving at least 45 people in hospital.",dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods, leaving at least 45 people in hospital,1
"Footage of the attack, which included a pregnant woman being hit, protesters being punched and kneed, and commuters screaming and crying while trying to shield themselves, emerged on Sunday night, fuelling further political unrest as demonstrators, opposition lawmakers and others demanded answers from authorities for failing to stop the violence.","Footage of the attack, which included a pregnant woman being hit, protesters being punched and kneed, and commuters screaming and crying while trying to shield themselves, emerged on Sunday night", fuelling further political unrest,1
"Footage of the attack, which included a pregnant woman being hit, protesters being punched and kneed, and commuters screaming and crying while trying to shield themselves, emerged on Sunday night, fuelling further political unrest as demonstrators, opposition lawmakers and others demanded answers from authorities for failing to stop the violence.",failing to stop the violence,"demonstrators, opposition lawmakers and others demanded answers from authorities",1
Protesters are angry at the police ’ s slow response to the attack in Yuen Long and their pursuit of the case.,the police ’ s slow response to the attack in Yuen Long and their pursuit of the case,Protesters are angry,1
The violence in Yuen Long has heightened tensions and fears of further attacks.,The violence in Yuen Long,heightened tensions and fears of further attacks,1
"On Tuesday, a group of aviation staff called for a protest at Hong Kong airport on Friday to condemn the government and police for “ ignoring the random attacks on citizens in Yuen Long ”.", to condemn the government and police,a group of aviation staff called for a protest at Hong Kong airport on Friday,1
"On Tuesday, a group of aviation staff called for a protest at Hong Kong airport on Friday to condemn the government and police for “ ignoring the random attacks on citizens in Yuen Long ”.",“ ignoring the random attacks on citizens in Yuen Long ”,to condemn the government and police,1
"Hailey Leung, a university student who has been attending the protests this summer, said : “ The fear of the gangs is definitely stronger than the fear of the use of violence of the police. ” Her parents have been supportive of the protests but, since the violence in Yuen Long, they have asked her not to attend.",the violence in Yuen Long,they have asked her not to attend,1
"10th September 2015 03:49 AM KOCHI : Anoop George, the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery, could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday, after jail authorities in Coimbatore failed to arrange escort for him.",jail authorities in Coimbatore failed to arrange escort for him,"Anoop George, the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery, could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday",1
"Some hotheads tried to gatecrash, provoking the policemen into action  they charged ferociously, dispersing the crowd within minutes.",Some hotheads tried to gatecrash, provoking the policemen into action,1
"Some hotheads tried to gatecrash, provoking the policemen into action  they charged ferociously, dispersing the crowd within minutes.",provoking the policemen into action,they charged ferociously,1
"Some hotheads tried to gatecrash, provoking the policemen into action  they charged ferociously, dispersing the crowd within minutes.",they charged ferociously,dispersing the crowd within minutes,1
"Jammu : Delhi court blast accused killed in Kishtwar August 07, 2012 00:00 IST A 2011 Delhi High Court blast accused, Amir Ali Kamal, was among two Hizb—ul—Mujahideen ( HM ) militants killed on Monday in a shootout with security forces in the mountainous Kishtwar district of Jammu and Kashmir, police said.",a shootout with security forces in the mountainous Kishtwar district of Jammu and Kashmir,"A 2011 Delhi High Court blast accused, Amir Ali Kamal, was among two Hizb—ul—Mujahideen ( HM ) militants killed on Monday",1
Akram was on the radar of the National Investigation Agency ( NIA ) as he is believed to have arranged explosives and planter for the blast.,he is believed to have arranged explosives and planter for the blast,Akram was on the radar of the National Investigation Agency ( NIA ),1
Akram was on the radar of the National Investigation Agency ( NIA ) as he is believed to have arranged explosives and planter for the blast.,the blast,arranged explosives and planter,1
"He is an accused in the Delhi High Court blast of Sep 7, 2011 in which at least 10 people were killed and over 70 injured.","the Delhi High Court blast of Sep 7, 2011",at least 10 people were killed and over 70 injured,1
The NIA wanted to catch Akram alive as he could provide clues in resolving the blast case.,he could provide clues in resolving the blast case,The NIA wanted to catch Akram alive,1
Two more youths were arrested later for allegedly being involved in the blast.,allegedly being involved in the blast,Two more youths were arrested later,1
"﻿NaMo, who had avoided visiting the victims of the 2002 riots in his own state for a long time, lost no time in burning up aviation fuel by dashing to Patna twice in one week to express condolences and score points over his rambunctious rivals.",dashing to Patna twice in one week to express condolences and score points over his rambunctious rivals,"﻿NaMo, who had avoided visiting the victims of the 2002 riots in his own state for a long time, lost no time in burning up aviation fuel",1
